City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Conditions
84,Kapaa,22.0752,-159.319,83.48,73,20,16.11,few clouds
85,Jacqueville,5.2052,-4.4146,75.69,88,97,11.72,overcast clouds
86,Talnakh,69.4865,88.3972,47.21,72,95,3.06,overcast clouds
87,Georgetown,5.4112,100.3354,82.89,90,20,3.44,few clouds
88,Kosh-Agach,50.0,88.6667,46.27,89,3,2.42,clear sky
89,Upernavik,72.7868,-56.1549,42.1,81,100,10.6,overcast clouds
90,Truro,50.2653,-5.0544,70.88,64,0,2.3,clear sky
91,Kununurra,-15.7667,128.7333,71.58,40,5,9.22,clear sky
92,Clyde River,70.4692,-68.5914,41.23,93,100,4.61,overcast clouds
93,Atuona,-9.8,-139.0333,77.22,68,33,25.48,scattered clouds
94,Raudeberg,61.9875,5.1352,56.07,94,100,9.91,overcast clouds
95,Avarua,-21.2078,-159.775,78.85,73,20,12.66,few clouds
96,Hermanus,-34.4187,19.2345,58.8,72,100,13.89,overcast clouds
97,Bluff,-46.6,168.3333,41.65,80,99,9.69,overcast clouds
98,Port Elizabeth,-33.918,25.5701,58.1,100,100,4.61,mist
99,Puerto Ayora,-0.7393,-90.3518,80.56,99,100,5.99,overcast clouds
100,Tual,-5.6667,132.75,80.02,82,84,16.06,broken clouds
101,Vardo,70.3705,31.1107,53.58,76,40,17.27,scattered clouds
102,San Juan,-31.5375,-68.5364,60.46,29,71,5.19,broken clouds
103,Hasaki,35.7333,140.8333,82.8,81,18,23.11,few clouds
104,Provideniya,64.3833,-173.3,48.36,100,100,8.99,mist
105,Peniche,39.3558,-9.3811,68.29,93,0,4.29,clear sky
106,Bonthe,7.5264,-12.505,76.14,89,84,9.69,moderate rain
107,Aswan,24.0934,32.907,92.59,22,46,15.37,scattered clouds
108,La Ronge,55.1001,-105.2842,84.42,45,40,13.8,scattered clouds
109,Henties Bay,-22.116,14.2845,54.03,91,1,9.48,clear sky
110,Rikitea,-23.1203,-134.9692,73.15,70,77,20.94,broken clouds
111,Butaritari,3.0707,172.7902,81.99,75,97,13.06,overcast clouds
112,Klaksvik,62.2266,-6.589,52.72,85,100,11.92,overcast clouds
113,Bowen,-20.0167,148.2333,65.41,81,70,7.94,broken clouds
114,Kokkola,63.8385,23.1307,61.93,83,0,4.61,clear sky
115,Saint George,37.1041,-113.5841,94.24,33,90,4.0,overcast clouds
116,Carnarvon,-24.8667,113.6333,58.78,34,0,15.77,clear sky
117,Vila Velha,-20.3297,-40.2925,73.35,80,0,12.66,clear sky
118,Yellowknife,62.456,-114.3525,64.92,34,75,13.8,broken clouds
119,Upala,10.8979,-85.0145,79.16,93,100,2.37,light rain
120,Wanning,18.8003,110.3967,78.93,90,100,2.26,overcast clouds
121,Atar,20.5169,-13.0499,98.85,26,99,7.92,overcast clouds
122,Harper,4.375,-7.7169,76.33,77,100,10.11,overcast clouds
123,Lae,-6.7221,146.9847,75.87,87,100,5.66,overcast clouds
124,Hobart,-42.8794,147.3294,42.26,100,75,0.0,broken clouds
125,Grenada,37.1882,-3.6067,82.76,51,0,9.22,clear sky
126,Tiksi,71.6872,128.8694,39.81,95,100,11.05,overcast clouds
127,Rorvik,64.8621,11.2373,51.91,100,75,19.57,broken clouds
128,Mayor Pablo Lagerenza,-19.9309,-60.7718,68.41,31,0,6.31,clear sky
129,Mar Del Plata,-38.0023,-57.5575,57.22,58,0,9.22,clear sky
130,Qaanaaq,77.484,-69.3632,38.98,72,96,6.11,overcast clouds
131,Nikolayevka,53.1257,47.2041,61.0,90,19,5.26,few clouds
132,Kota Kinabalu,5.9749,116.0724,78.78,83,20,3.44,few clouds
133,Narasannapeta,18.4167,84.05,80.15,83,100,5.39,overcast clouds
134,Esperance,-33.8667,121.9,52.68,71,87,7.72,overcast clouds
135,Salym,60.0625,71.4789,55.47,75,54,5.82,broken clouds
136,Kavieng,-2.5744,150.7967,81.32,78,96,11.23,light rain
137,Nuuk,64.1835,-51.7216,44.65,77,74,10.85,broken clouds
138,Faanui,-16.4833,-151.75,78.24,75,10,14.5,light rain
139,Luanda,-8.8368,13.2343,66.85,93,54,5.53,broken clouds
140,Tasiilaq,65.6145,-37.6368,34.83,86,24,1.34,few clouds
141,Caravelas,-17.7125,-39.2481,72.99,68,100,11.48,light rain
142,Hamilton,39.1834,-84.5333,84.9,63,71,1.99,broken clouds
143,Bredasdorp,-34.5322,20.0403,54.36,81,100,6.02,overcast clouds
144,Parrita,9.5201,-84.3225,81.07,81,100,3.47,overcast clouds
145,Poya,-21.35,165.15,68.81,58,9,8.97,clear sky
146,Dikson,73.5069,80.5464,43.97,93,100,19.44,overcast clouds
147,Guerrero Negro,27.9769,-114.0611,82.45,48,1,16.4,clear sky
148,Qeshm,26.9581,56.2719,91.27,74,36,4.18,scattered clouds
149,Longyearbyen,78.2186,15.6401,46.24,76,75,10.36,broken clouds
